year,county,temp_lo_F,temp_hi_F,temp_avg_F,precip_1wk_inches,precip_1wk_days
2007,KENNEBEC,38.0,84.0,52.0,0.99,3.0
2007,PENOBSCOT,27.0,83.0,51.0,0.26,2.0
2007,OXFORD,26.0,82.0,48.0,0.38,2.0
2007,AROOSTOOK,26.0,77.0,45.0,0.15,2.0
2007,PISCATAQUIS,25.0,81.0,46.0,0.26,2.0
2007,AROOSTOOK,27.0,71.0,44.0,0.28,2.0
2007,AROOSTOOK,21.0,79.0,47.0,0.3,2.0
2007,ANDROSCOGGIN,23.0,83.0,47.0,0.69,3.0
2007,PISCATAQUIS,21.0,78.0,41.0,0.28,2.0
2007,CUMBERLAND,30.0,81.0,52.0,0.75,3.0
2007,KENNEBEC,37.0,62.0,49.0,0.45,3.0
2007,PENOBSCOT,35.0,61.0,47.0,0.62,3.0
2007,OXFORD,34.0,61.0,47.0,0.48,3.0
2007,AROOSTOOK,31.0,54.0,41.0,0.29,2.0
2007,PISCATAQUIS,32.0,59.0,44.0,0.62,2.0
2007,AROOSTOOK,30.0,51.0,40.0,0.26,3.0
2007,AROOSTOOK,29.0,54.0,41.0,0.26,3.0
2007,ANDROSCOGGIN,27.0,61.0,46.0,0.38,2.0
2007,PISCATAQUIS,28.0,55.0,40.0,0.54,2.0
2007,CUMBERLAND,37.0,65.0,50.0,0.24,1.0
2007,KENNEBEC,35.0,86.0,59.0,0.43,1.0
2007,PENOBSCOT,31.0,87.0,58.0,0.36,1.0
2007,OXFORD,30.0,86.0,59.0,0.16,1.0
2007,AROOSTOOK,29.0,84.0,57.0,0.33,1.0
2007,PISCATAQUIS,33.0,86.0,57.0,0.2,1.0
2007,AROOSTOOK,34.0,81.0,57.0,0.01,1.0
2007,AROOSTOOK,27.0,87.0,57.0,0.2,1.0
2007,ANDROSCOGGIN,27.0,86.0,57.0,0.12,1.0
2007,PISCATAQUIS,24.0,83.0,53.0,0.34,1.0
2007,CUMBERLAND,35.0,81.0,58.0,0.33,1.0
2007,KENNEBEC,37.0,70.0,49.0,1.73,6.0
2007,PENOBSCOT,32.0,69.0,49.0,2.59,6.0
2007,OXFORD,29.0,71.0,47.0,1.99,4.0
